100 593100 120700
1100 4956800 2354600
2100 3636300 918200
3100 9301800 5018800
4100 9204700 1184600
5100 13024600 1381800
6100 17367700 1884300
7100 16336000 2686400
8100 20887500 3332600
9100 27404000 4646100
